"","PROBEID","SYMBOL","ENTREZID","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1","1405_i_at","CCL5","6352","C-C motif chemokine ligand 5",1.82303911890363,5.62669638649384,3.73342922014438,0.000824674925304956,0.015132784879346,-0.759682911778243
"2","1552257_a_at","TTLL12","23170","tubulin tyrosine ligase like 12",-0.782851792781962,4.86440870821226,-2.16658121273001,0.0386591925795773,0.119400798632615,-4.28325566947011
"3","1552263_at","MAPK1","5594","mitogen-activated protein kinase 1",0.204339122765727,5.29018974490428,0.492370723788008,0.626179597274255,0.734572896305671,-6.35510154233256
"4","1552287_s_at","AFG3L1P","172","AFG3 like matrix AAA peptidase subunit 1, pseudogene",-0.575884922426684,3.93967217726751,-1.76067114304815,0.0888813990893888,0.197042398750062,-4.99094147506498
"5","1552309_a_at","NEXN","91624","nexilin F-actin binding protein",0.274309345342912,2.43667841413545,0.680573714873746,0.501561458829153,0.63232745762371,-6.244929372014
"6","1552310_at","C15orf40","123207","chromosome 15 open reading frame 40",0.129520320841168,3.71777798587258,0.280307557471769,0.781239665165175,0.853318324748867,-6.43743272128301
"7","1552316_a_at","GIMAP1","170575","GTPase, IMAP family member 1",0.0230903408811249,6.49341663636272,0.0558328700424005,0.955859425637646,0.967846626862096,-6.4755061856534
"8","1552426_a_at","TM2D3","80213","TM2 domain containing 3",-0.697154732181789,3.80300048661505,-1.5508238448858,0.131834301631313,0.252953933310651,-5.310840506205
"9","1552582_at","ABCC13","150000","ATP binding cassette subfamily C member 13 (pseudogene)",0.209500040462583,4.44458199310401,0.34102541114189,0.735553031735046,0.817573675416955,-6.41843479467363
"10","1552628_a_at","HERPUD2","64224","HERPUD family member 2",0.0115914247243376,4.86212543229935,0.0242844907359319,0.980792702715235,0.986352994201692,-6.47678332183239
"11","1552701_a_at","CARD16","114769","caspase recruitment domain family member 16",-0.620957965551007,5.75180849763383,-1.5539861117821,0.13107894671435,0.252103719812211,-5.30627016348086
"12","1552719_at","CASC4","113201","cancer susceptibility 4",-0.128078115001539,4.45325865298941,-0.302650471932239,0.764325397938719,0.841685621681396,-6.43087078671226
"13","1552807_a_at","SIGLEC10","89790","sialic acid binding Ig like lectin 10",-0.19927111948844,9.181242025365,-0.52302400855982,0.604947462768683,0.71849747196151,-6.33951600788653
"14","1552846_s_at","RAB42","115273","RAB42, member RAS oncogene family",-1.12694768792978,5.88029141641436,-2.64535767793094,0.0130625830315065,0.0633056995176374,-3.31922940521222
"15","1553043_a_at","CD300LF","146722","CD300 molecule like family member f",-0.871201664007859,3.16929456087458,-2.36358605408361,0.0250445893371025,0.0918734035802029,-3.90197028992513
"16","1553099_at","TIGD1","200765","tigger transposable element derived 1",-0.720896841467894,2.83150100206068,-1.66512029313041,0.106701870348169,0.221795097427558,-5.14073293979784
"17","1553103_at","NFX1","4799","nuclear transcription factor, X-box binding 1",-1.26049795422331,4.04796945898304,-3.17075328656856,0.00358588495255658,0.0324624509338449,-2.13447748402541
"18","1553107_s_at","C5orf24","134553","chromosome 5 open reading frame 24",0.425736050441079,3.9523429912647,1.13508536042792,0.265672495851804,0.405949987037749,-5.84045558151989
"19","1553145_at","TAPT1-AS1","202020","TAPT1 antisense RNA 1 (head to head)",-0.200987283790801,4.34049809751856,-0.508770003320062,0.614778394988239,0.725125308846355,-6.34687832402767
"20","1553260_s_at","C2CD6","151254","C2 calcium dependent domain containing 6",0.546665675715177,4.77710337350969,0.742946120788579,0.463515188030631,0.598021992355276,-6.20085612801624
"21","1553292_s_at","RSKR","124923","ribosomal protein S6 kinase related",-0.0211016990293813,2.23657271477695,-0.0714426935066981,0.943537882844363,0.960462770983458,-6.47450239808217
"22","1553335_x_at","BASP1-AS1","285696","BASP1 antisense RNA 1",0.463602582763269,3.14889316348693,1.13350525638494,0.266324213902499,0.406330631717456,-5.84218789392235
"23","1553447_at","AGBL1","123624","ATP/GTP binding protein like 1",0.770769276544139,3.59869665314799,1.97959489946156,0.0573509140072521,0.152019461488691,-4.62302048609724
"24","1553471_at","SLC35G3","146861","solute carrier family 35 member G3",0.965948615566009,4.3220529987736,2.41520983490834,0.0222855756273399,0.0873170282907668,-3.79836188172975
"25","1553551_s_at","ND2","4536","MTND2",0.439757088578098,8.39181231095846,1.31418375712659,0.199127088855838,0.330541142150912,-5.63004305807937
"26","1553567_s_at","ATP6","4508","ATP synthase F0 subunit 6",-0.515974972056519,6.48111943554756,-1.3527532679562,0.186630947542303,0.316658399619654,-5.58115011098992
"27","1553569_at","COX2","4513","cytochrome c oxidase subunit II",0.167211513922364,7.78886455513491,0.440047286976608,0.663178633265663,0.763402378811943,-6.37956549442516
"28","1553581_s_at","SREK1IP1","285672","SREK1 interacting protein 1",-0.0200489804472959,4.18323188295988,-0.0564674748853031,0.955358265526197,0.967581866013361,-6.47547017773629
"29","1553613_s_at","FOXC1","2296","forkhead box C1",0.965263377666366,5.61270200616179,1.47729049341976,0.150420596243441,0.277483570543646,-5.41488775292619
"30","1553706_at","HTRA4","203100","HtrA serine peptidase 4",-1.74014825111133,7.87808599039255,-2.894520847351,0.00715790119499272,0.0449195134759705,-2.77168014345716
"31","1553713_a_at","RHEBL1","121268","RHEB like 1",1.0635948775615,4.59751096737908,2.58429151121015,0.0150836563358379,0.0687309565884069,-3.4489977695284
"32","1553857_at","IGSF22","283284","immunoglobulin superfamily member 22",-0.688272640147217,4.05864291888758,-1.86383292433596,0.0725409269511706,0.17499106279405,-4.82175004377333
"33","1553858_at","ZBTB3","79842","zinc finger and BTB domain containing 3",-0.377148522961481,4.91635833784315,-1.02542126974465,0.313677010070518,0.45501763911415,-5.95541122623889
"34","1553873_at","KLHL34","257240","kelch like family member 34",0.716399149047117,3.83275839562697,1.49305187921713,0.146268760773355,0.27324710191672,-5.39294807217686
"35","1553959_a_at","B3GALT6","126792","beta-1,3-galactosyltransferase 6",0.146666903847469,7.78014775482959,0.405790187631899,0.687887598196816,0.782278979027722,-6.39411510581736
